scenario,implementation,operation,tsc_ghz,min_tsc,p50_tsc,p95_tsc,p99_tsc,p999_tsc,p9999_tsc,max_tsc,mean_tsc,min_ns,p50_ns,p95_ns,p99_ns,p999_ns,p9999_ns,max_ns,mean_ns
bench_alignment,default_24b,sequential_scan_10000,4.192,6972,7056,9198,10584,21168,21168,27300,7576.8,1663.2,1683.2,2194.2,2524.8,5049.7,5049.7,6512.5,1807.5
bench_alignment,default_24b,random_read_batch_64,4.192,798,966,1470,1680,1974,1974,2100,1025.1,190.4,230.4,350.7,400.8,470.9,470.9,501.0,244.5
bench_alignment,default_24b,insert_batch_10000,4.192,43218,46032,48636,63420,96096,96096,98700,46807.2,10309.7,10981.0,11602.2,15129.0,22923.9,22923.9,23545.1,11165.9
bench_alignment,packed_17b,sequential_scan_10000,4.192,5124,5292,5544,5586,11172,11172,17640,5359.7,1222.3,1262.4,1322.5,1332.6,2665.1,2665.1,4208.1,1278.6
bench_alignment,packed_17b,random_read_batch_64,4.192,336,840,1386,1554,1974,1974,15918,900.0,80.2,200.4,330.6,370.7,470.9,470.9,3797.3,214.7
bench_alignment,packed_17b,insert_batch_10000,4.192,45234,46116,48930,62874,93198,93198,93870,46698.3,10790.7,11001.1,11672.3,14998.7,22232.5,22232.5,22392.9,11140.0
bench_alignment,aligned_64b,sequential_scan_10000,4.192,17640,17892,18774,23478,34944,34944,35028,18184.5,4208.1,4268.2,4478.6,5600.7,8336.0,8336.0,8356.0,4338.0
bench_alignment,aligned_64b,random_read_batch_64,4.192,630,924,1428,1638,1848,1848,1890,986.7,150.3,220.4,340.7,390.7,440.8,440.8,450.9,235.4
bench_alignment,aligned_64b,insert_batch_10000,4.192,146958,159348,181482,205716,230874,230874,247548,161504.0,35057.1,38012.7,43292.9,49073.9,55075.4,55075.4,59053.0,38527.1
